Species	Ks
N03_N03	0.024700599999999996
N03_N03	0.0319494
N03_N03	
N03_N03	0.0841219
N03_N03	0.0387037
N03_N03	
N03_N03	0.0875435
N03_N03	0.010559899999999999
N03_N03	
N03_N03	0.11319100000000001
N03_N03	0.0879075
N03_N03	
N03_N03	
N03_N03	0.00991733
N03_N03	0.011591299999999999
N03_N03	
N03_N03	0.060504199999999994
N03_N03	0.040498
N03_N03	
N03_N03	0.0280558
N03_N03	1.2006
N03_N03	0.09401210000000002
N03_N03	0.012487
N03_N03	0.06459619999999999
N03_N03	0.0749799
N03_N03	
N03_N03	0.813685
N03_N03	0.018414700000000003
N03_N03	
N03_N03	0.0846322
N03_N03	0.0370384
N03_N03	
N03_N03	0.056637599999999996
N03_N03	0.0704197
N03_N03	0.10395499999999999
N03_N03	0.0102626
N03_N03	0.07952569999999999
N03_N03	0.00538153
N03_N03	
N03_N03	0.059984300000000004
N03_N03	
N03_N03	
N03_N03	
N03_N03	1.4351399999999999
N03_N03	
N03_N03	
N03_N03	0.042185
N03_N03	2.11183
N03_N03	0.019321500000000002
N03_N03	0.10902200000000001
N03_N03	0.0177882
N03_N03	0.023301099999999998
N03_N03	0.0408727
N03_N03	0.00900013
N03_N03	0.0617018
N03_N03	
N03_N03	0.0641142
N03_N03	
N03_N03	0.0324667
N03_N03	0.30649699999999996
N03_N03	0.0453986
N03_N03	
N03_N03	0.025280900000000002
N03_N03	0.010808100000000001
N03_N03	0.0157378
N03_N03	0.0776706
N03_N03	0.0157101
N03_N03	0.0240405
N03_N03	
N03_N03	0.0195279
N03_N03	0.00833173
N03_N03	0.00661704
N03_N03	0.047099300000000004
N03_N03	0.070641
N03_N03	
N03_N03	
N03_N03	
N03_N03	0.015966
N03_N03	0.0328956
N03_N03	
N03_N03	
N03_N03	0.00674414
N03_N03	0.12028599999999999
N03_N03	0.11151400000000002
N03_N03	
N03_N03	0.0451936
N03_N03	0.0590207
N03_N03	0.0353699
N03_N03	0.0076387
N03_N03	0.029582499999999998
N03_N03	0.0561992
N03_N03	0.0369069
N03_N03	0.042729699999999995
N03_N03	0.0215723
N03_N03	0.012203299999999999
N03_N03	0.10045599999999999
N03_N03	2.1550700000000003
N03_N03	0.10337
N03_N03	
N03_N03	0.060321900000000005
N03_N03	
N03_N03	0.033502699999999996
N03_N03	0.05549119999999999
N03_N03	0.00429323
N03_N03	0.0149245
N03_N03	0.0150027
N03_N03	0.07651669999999999
N03_N03	0.0780258
N03_N03	0.13500299999999998
N03_N03	0.013771100000000001
N03_N03	
N03_N03	0.018318
N03_N03	0.0270005
N03_N03	0.00924512
N03_N03	0.114006
N03_N03	
N03_N03	0.52012
N03_N03	
N03_N03	0.0200497
N03_N03	
N03_N03	0.0744492
N03_N03	0.0369745
N03_N03	
N03_N03	0.254456
N03_N03	0.0478551
N03_N03	0.0222104
N03_N03	
N03_N03	0.0115035
N03_N03	0.041522699999999996
N03_N03	0.381542
N03_N03	0.159089
N03_N03	0.09686489999999999
N03_N03	0.0167373
N03_N03	
N03_N03	0.06534780000000001
N03_N03	0.0147528
N03_N03	0.111248
N03_N03	
N03_N03	0.00758366
N03_N03	0.011568799999999999
N03_N03	
N03_N03	0.00892773
N03_N03	
N03_N03	0.0115262
N03_N03	
N03_N03	0.0107557
N03_N03	0.013464700000000001
N03_N03	
N03_N03	0.0556377
N03_N03	0.011575299999999998
N03_N03	0.00647061
N03_N03	0.0985407
N03_N03	0.56845
N03_N03	0.0375601
N03_N03	
N03_N03	
N03_N03	0.0352818
N03_N03	0.015617500000000001
N03_N03	
N03_N03	0.09374880000000001
N03_N03	0.07523819999999999
N03_N03	0.08996330000000001
N03_N03	0.0310645
N03_N03	0.198157
N03_N03	0.0764518
N03_N03	
N03_N03	0.06005800000000001
N03_N03	0.0532486
N03_N03	
N03_N03	0.041551599999999994
N03_N03	0.0132092
N03_N03	0.035676400000000004
N03_N03	0.591194
N03_N03	0.0153906
N03_N03	
N03_N03	0.0341408
N03_N03	0.05794680000000001
N03_N03	0.054495299999999997
N03_N03	0.0877907
N03_N03	0.077253
N03_N03	1.03001
N03_N03	0.0901295
N03_N03	3.43281
N03_N03	0.0421067
N03_N03	0.023011900000000002
N03_N03	0.019904400000000003
N03_N03	0.0637143
N03_N03	0.022588
N03_N03	0.0675391
N03_N03	0.07348939999999998
N03_N03	0.0235673
N03_N03	0.013325700000000001
N03_N03	0.0904351
N03_N03	0.01573
N03_N03	0.030485200000000004
N03_N03	0.0378851
N03_N03	0.0331878
N03_N03	
N03_N03	0.37079
N03_N03	0.0937
N03_N03	0.152884
N03_N03	0.00831688
N03_N03	0.8240280000000001
N03_N03	0.0450483
N03_N03	0.0192202
N03_N03	0.020888099999999996
N03_N03	0.10834200000000001
N03_N03	0.0531434
N03_N03	0.011228
N03_N03	0.0799005
N03_N03	0.024713
N03_N03	0.0650871
N03_N03	0.0327637
N03_N03	0.0956858
N03_N03	0.370108
N03_N03	0.5452279999999999
N03_N03	3.35362
N03_N03	3.09734
N03_N03	
N03_N03	0.0521332
N03_N03	0.111248
N03_N03	
N03_N03	0.043944800000000006
N03_N03	0.011137399999999999
N03_N03	0.060778099999999995
N03_N03	0.0940495
N03_N03	0.103806
N03_N03	0.135535
N03_N03	0.057532400000000004
N03_N03	0.391903
N03_N03	0.017224400000000004
N03_N03	0.0309834
N03_N03	
N03_N03	0.0769539
