stock_code,revenue,s_fa_eps_basic,du_profit,plus_net_invest_inc,net_cash_flows_oper_act,net_cash_flows_inv_act,net_roe,total_roe,RSI,VOL,WILLR,y,date
600021.SH,11772360704,0.1708,2043114752,396073088,3765545984,-1078637952,3.569099903,1.325099945,20.19292201,0.001739183,-65.85365854,-0.055323591,20171207
600023.SH,28688668672,0.280000001,5674597376,2147510528,11399604224,-1180825216,6.337600231,3.883899927,67.33080308,0.001482142,-8.333333333,-0.030797101,20171207
600028.SH,1.36E+12,0.317000002,66615001088,0,1.32E+11,-41218998272,5.355500221,3.483999968,41.65120593,0.001803992,-62.06896552,0.004942339,20171207
600029.SH,86652002304,0.709999979,11514000384,822000000,20568999936,-6674999808,13.90919971,3.987400055,68.30016106,0.013288789,-22.42424242,0.054964539,20171207
600030.SH,27040088064,0.649999976,0,177486576,-56139866112,6382547456,5.391200066,1.356699944,54.5201177,0.019514562,-92.14285714,-0.027404621,20171207
600031.SH,16489661440,0.236000001,3560519936,52524000,2034957952,-680649984,7.240099907,3.209399939,61.23744093,0.017890486,-30.76923077,0.004504505,20171207
600036.SH,1.60E+11,2.329999924,0,0,-3.59E+11,75951996928,13.42469978,0.976999998,52.15539631,0.004073798,-86.39455782,0.018053097,20171207
600038.SH,8256812032,0.460500002,332798112,-12524436,-1673837568,-208488496,3.865999937,1.318400025,53.28522629,0.010364362,-32.10784314,-0.013645224,20171207
600048.SH,87151394816,0.699999988,15475814400,721480640,40648613888,-8358097920,8.780900002,1.845299959,74.9734813,0.013597503,-26.42487047,0.063084112,20171207
600050.SH,2.07E+11,0.061900001,8936369152,42415356,66757644288,-64792256512,1.661999941,0.655900002,33.04805939,0.018270185,-98.37398374,-0.060606061,20171207
600061.SH,8048540160,0.519999981,3101637632,4247260.5,-9621789696,-203906896,6.895899773,1.605999947,52.65018328,0.001669363,-15.87301587,-0.095945946,20171207
600066.SH,18994966528,0.860000014,2409505792,39298992,-1372759040,448566240,14.33269978,5.811100006,37.8326572,0.008916234,-93.38235294,0.051270815,20171207
600068.SH,74308231168,0.469000012,5892366848,54132876,-4829852160,-3049095168,6.447400093,2.10710001,44.09576943,0.009409177,-81.25,-0.089700997,20171207
600074.SH,2961030912,0.170000002,582244032,-24859726,-134002384,-1171159552,8.404999733,4.078000069,0,0,0,,20171207
600085.SH,8896476160,0.597000003,1707240192,-1328662,896875328,-478864224,9.949899673,7.830200195,40.17748109,0.006677833,-46.35761589,-0.02499238,20171207
600089.SH,17929361408,0.546000004,3329376512,10743931,-790009472,-3769774336,6.39470005,2.870599985,40.8803904,0.021582975,-89.47368421,0.016563147,20171207
600100.SH,17141873664,-0.062199999,563165696,412450784,-4492212224,-238107040,-0.882300019,-0.0394,37.14564342,0.01225699,-90.33816425,-0.052011776,20171207
600104.SH,6.08E+11,2.121999979,37833670656,20427487232,-2378735616,13428358144,11.42759991,5.385000229,50.48249017,0.002794331,-47.61904762,-0.007327174,20171207
600109.SH,3182614272,0.291000009,0,-19170698,-9825998848,-370608704,4.762000084,1.918099999,35.50367459,0.006349771,-95.65217391,-0.098188751,20171207
600111.SH,2218063360,0.096000001,970169984,-166768.6094,983015680,-86445272,3.963399887,3.453000069,38.97013941,0.020492558,-87.35632184,0.050680787,20171207
600115.SH,77505003520,0.550000012,12035999744,0,19221999616,-23711000576,14.50909996,3.917900085,65.10354156,0.012364978,-32.8125,0.071523179,20171207
600118.SH,3998387968,0.219999999,286678624,-437466.9688,-10055828,-91808960,5.098499775,2.531100035,48.67134153,0.005910283,-25.45454545,-0.053706505,20171207
600153.SH,1.44E+11,0.579999983,3081625856,80394800,-5946893824,-5858199552,7.44119978,1.328199983,31.94943128,0.006820001,-94.39252336,-0.016363636,20171207
600157.SH,7631822848,0.033100002,3370233088,-675898.125,3114207488,-4402179072,1.706799984,0.554499984,0,0.000446945,0,,20171207
600170.SH,60556468224,0.209999993,3660788480,999069.3125,-12526474240,-859576384,7.144100189,1.108299971,42.74671196,0.004575189,-91.66666667,-0.023746702,20171207
600177.SH,10518991872,0.75,3936212736,843900160,-1122999936,1991304960,11.31260014,4.119299889,36.50448431,0.001972334,-68,-0.012931034,20171207
600188.SH,64777318400,0.973800004,9047346176,427168000,8194442752,-21101510656,8.894900322,3.316600084,44.89141455,0.007085613,-98.29545455,0.185419968,20171207
600196.SH,10637985792,0.99000001,3512574464,1035810560,1523486208,-1533293824,9.475399971,5.500400066,43.90615776,0.009574775,-20.70844687,0.103945372,20171207
600208.SH,8710147072,0.201000005,3323279360,546941824,3879650816,-2545452544,5.577700138,1.476500034,67.62710157,0.009534712,-16.94915254,0.028625954,20171207
600219.SH,9937195008,0.140000001,1821723648,27966152,880532992,-758845696,4.070099831,3.112799883,23.02805973,0.00652349,-95.83333333,0.028409091,20171207
600221.SH,30811957248,0.164000005,6342640128,662515008,11817622528,-6746444800,4.413599968,1.919999957,45.61860495,0.002934679,-62.5,-0.01572327,20171207
600233.SH,11395352576,0.375,1368803328,0,885137600,-610937088,11.96759987,9.285900116,22.22056757,0.001646806,-76.19047619,-0.022767075,20171207
600271.SH,16345231360,0.610000014,2046523392,-1429048.375,679766592,-219196960,11.37230015,9.086899757,53.48368942,0.018044904,-78.76447876,0.047103156,20171207
600276.SH,8264073216,0.829999983,2753485312,0,1925955968,-677360512,16.13290024,15.44939995,35.49432168,0.003819653,-78.55530474,0.057244803,20171207
600297.SH,89685295104,0.401800007,5917390336,14836983,-1645313792,-12516759552,11.00889969,2.949300051,34.42143959,0.002413717,-69.33333333,-0.074429772,20171207
600309.SH,20932182016,2.869999886,12407557120,6503727,5213297152,-2899642368,32.5965004,16.31940079,50.78004063,0.029512633,-49.64788732,,20171207
600332.SH,15543685120,0.910000026,1687033984,173408032,1762990592,-353547520,8.085800171,5.778699875,0,0,0,,20171207
600340.SH,25485531136,2.019999981,10003565568,-12275983,-178757232,-21711009792,16.63050079,2.122900009,65.73308792,0.008029725,-33.33333333,-0.047823421,20171207
600352.SH,9107464192,0.575500011,2766435328,39923972,-4775739392,-1804117248,11.40120029,4.928800106,59.42839349,0.01852146,-35.15625,0.066606661,20171207
600362.SH,1.40E+11,0.460000008,2779973120,19636740,99062096,-2024546304,3.309600115,1.763599992,40.50787908,0.015047603,-96.73469388,0.120617944,20171207
600369.SH,2953478144,0.100000001,0,119336016,-13214251008,-1571482624,3.043400049,0.907700002,25.23336519,0.002744705,-85.18518519,-0.086172345,20171207
600372.SH,3857762304,0.129999995,434151296,0,-1250123264,-91781256,3.559499979,1.253100038,37.13522214,0.001960946,-38.46153846,-0.02885292,20171207
600373.SH,9220358144,0.800000012,1167122688,5178861.5,758972736,-2111226496,9.341300011,5.573599815,38.72494386,0.005838744,-69.32515337,-0.058263305,20171207
600376.SH,17487360000,0.271699995,2886035712,154829680,-5427661824,1076160256,3.087199926,0.541000009,30.45613781,0.001335989,-89.09090909,-0.068273092,20171207
600383.SH,265121920,0.5,4049826560,-23425532,10156286976,2425883904,6.149099827,1.829300046,59.93865796,0.007004873,-44.53781513,0.000802568,20171207
600390.SH,9477451776,0.620000005,2948931328,366844480,-387169920,-1838233728,6.804599762,3.042900085,20.46869277,0.001463469,-81.9047619,0.050353357,20171207
600406.SH,6663193088,0.349999994,934367488,0,-716519488,-39027968,9.581700325,4.821400166,54.42244456,0.01576043,-87.5862069,-0.058262712,20171207
600415.SH,4296050688,0.219999999,1920840064,-19255888,-633723520,1494820864,11.29150009,4.82889986,21.25414086,0.003555934,-48.27586207,-0.071082391,20171207
600436.SH,1625678208,1.120000005,768477440,628688.4375,308854432,-308131200,16.71299934,12.30760002,34.88260939,0.009718312,-55.58739255,-0.00303757,20171207
